mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.69352, -0.351008, 0.0028909]","[0.0, 15283110.0, 15397790.0]","[0.0,0.5,1.0]",1100,60349.7,10483.9,-0.560606,0.360119,202239.31535109977,17.7963,171.0414464966124,47.90710087514821,-1.0,2.774,62.34405624442758,28.499648026209794,0.0,0.0,0.0
"[1.63833, -0.226799, 0.10313]","[0.0, 1378382.0, 1378610.0]","[0.0,0.5,1.0]",2017,33428.8,1424.44,0.371853,-0.793971,213955.73117979927,18.7255,1655.674542375795,20.800159970562728,-1.0,0.839,29.181512505899374,0.0,0.0,0.0,0.0
[3.25916],[0.0],[0.0],811,131089.0,19265.2,-0.144633,-0.286573,154424.9787851365,13.9661,80.48959519409728,88.7184992568702,1.495,1.495,160.16478221913468,0.0,0.0,0.0,0.0
"[3.35512, 0.00167601, -0.131138]","[0.0, 4418830.0, 4309362.0]","[0.0,1.0,0.5]",7009,169029.0,25048.7,-0.170298,-0.188523,109000.61909899735,10.2493,84.12734333829336,123.25687896155934,2.448,2.448,230.1946873931938,0.0,0.0,0.0,0.0
"[1.89753, -0.437731, 0.00255955]","[0.0, 2996959.0, 3201032.0]","[0.0,0.5,1.0]",5149,17659.5,4699.52,0.179932,-0.387653,98737.07000723523,9.39444,2383.210257725278,44.652418585270816,0.669,0.669,68.27324940865246,0.0,0.0,0.0,0.0
"[-1.9005, 2.52989, 0.000392741]","[1992124.0, 0.0, 2664084.0]","[0.5,0.0,1.0]",280,87641.5,15819.9,-0.635893,0.681126,153992.16766902086,13.9311,129.9713435748481,71.28586231811981,-1.0,1.15,150.0526380709075,0.0,0.0,0.0,0.0
[3.10255],[0.0],[0.0],533,16556.4,13123.4,-0.536425,-0.989152,69604.85108601622,6.92351,1572.74092821591,72.34278747427712,1.067,1.067,127.42499738981347,0.0,0.0,0.0,0.0
"[3.07441, -0.0732524, 0.00108326]","[0.0, 12999590.0, 13412470.0]","[0.0,0.5,1.0]",4405,16250.0,3954.92,-0.846324,-0.82824,184025.86619402404,16.3451,1267.3923123004188,26.23202983335307,-1.0,0.959,46.54796386777669,0.0,0.0,0.0,0.0
"[1.85711, -0.580391]","[0.0, 43822730.0]","[0.0,0.5]",3067,26739.0,1267.69,-0.370994,0.93795,171676.0189159256,15.3559,2954.7103651080406,17.331951955960452,-1.0,1.576,27.059506868993925,0.0,0.0,0.0,0.0
"[2.08852, -0.729703, 2.7681e-05]","[0.0, 5541725.0, 7872733.0]","[0.0,0.5,1.0]",9942,121834.0,13523.2,-0.327807,0.973743,68642.97445970296,6.84052,350.0220822649221,100.57921840731802,-1.0,1.143,168.848834317164,0.0,0.0,0.0,0.0
"[1.68836, -0.271342, 0.000264221]","[0.0, 8375865.0, 9438172.0]","[0.0,0.5,1.0]",534,11182.1,7895.61,0.842961,-0.800794,57432.05869146741,5.8646,4242.479511392043,60.72814643192597,-1.0,1.246,85.01867238151898,0.0,0.0,0.0,0.0
"[2.13735, -0.500548, 2.63974e-06]","[0.0, 61589050.0, 69201100.0]","[0.0,0.5,1.0]",5622,34720.2,8779.01,0.338134,0.995056,124679.18876840388,11.5432,592.2350018461383,69.97781876617837,-1.0,1.569,102.30532138249816,49.50902932487504,0.0,0.0,0.0
"[2.91428, -0.766592, 1.78983e-05]","[0.0, 11185920.0, 15057140.0]","[0.0,0.5,1.0]",7971,96478.5,24187.4,-0.344165,0.636523,191816.5396421381,16.9669,59.69758431143357,100.01465051349363,-1.0,1.737,170.73763429662117,87.56908925685563,0.0,0.0,0.0
"[4.12639, -0.366002, 0.00795876]","[0.0, 3987536.0, 4101453.0]","[0.0,0.5,1.0]",1946,193138.0,120049.0,-0.244894,0.276224,181444.45183324345,16.1387,8.902838908318062,211.50877233763995,2.824,2.824,429.6487183566975,129.34254478337448,0.0,0.0,0.0
[3.09888],[0.0],[0.0],9018,14810.1,1827.55,0.216318,-0.728624,52732.939767494325,5.45013,14667.90591088858,35.478305576045706,-1.0,0.377,62.45471768337459,0.0,0.0,0.0,0.0
"[2.17145, -0.363347]","[0.0, 69047990.0]","[0.0,0.5]",9750,144510.0,24231.3,0.893969,-0.554144,171484.20361466246,15.3405,52.09541583387002,177.4660443584961,-1.0,1.985,261.5111352486765,106.97346381750829,0.0,0.0,0.0
[3.00582],[0.0],[0.0],3284,7380.63,5879.81,0.000998909,0.331397,146057.30124662304,13.2882,2253.263817367952,32.1096186713948,2.042,2.042,55.669411837781,0.0,0.0,0.0,0.0
"[2.4593, -0.798385]","[0.0, 5492562.0]","[0.0,0.5]",2759,37740.4,1100.0,-0.114197,0.0164999,109125.97504586642,10.2597,5012.575193747966,22.521678096548985,-1.0,2.709,40.64950775365052,0.0,0.0,0.0,0.0
"[-3.97604, 4.40233, 0.13591]","[454687900.0, 0.0, 469254600.0]","[0.5,0.0,1.0]",6812,45416.9,8765.45,-0.29192,0.956729,56529.435323021455,5.78526,1358.504372244804,93.08086640224629,-1.0,0.903,195.2997620786225,188.74885668445353,0.0,0.0,0.0
"[2.92678, -0.865125, 4.59326e-06]","[0.0, 4651118.0, 10258850.0]","[0.0,0.5,1.0]",160,80402.3,1488.14,-0.0214336,-0.336598,160408.6724911036,14.4493,1316.2222840092293,17.498342957656767,-1.0,1.409,34.07421908028324,0.0,0.0,0.0,0.0
[7.16001],[0.0],[0.0],9298,29842.0,4808.28,0.0773238,0.190441,104003.0928614747,9.8339,1488.7464975193975,49.97618753932041,-1.0,0.502,133.72725718530583,0.0,0.0,0.0,0.0
"[4.19232, -1.07295, 1.9094e-05]","[0.0, 62551290.0, 73845400.0]","[0.0,0.5,1.0]",4692,45495.8,10485.1,0.711906,0.929277,99149.31249735184,9.42891,559.9025637275988,96.9885443601725,-1.0,1.591,198.58555446663448,100.46482860205894,0.0,0.0,0.0
"[3.37236, -2.92864, 2.42174, 0.000274209, -0.137283]","[6336552.0, 9222163.0, 0.0, 37287250.0, 35847040.0]","[0.0,0.5,0.0,1.0,0.5]",4457,22269.9,3862.83,0.269049,-0.665598,162764.49638424304,14.6392,1225.9066170452104,35.39579362552276,-1.0,1.729,105.36000906632263,0.0,0.0,0.0,0.0
[3.15597],[0.0],[0.0],1282,40581.2,7704.07,-0.633536,0.0299817,145596.6119798903,13.2508,483.2812275959824,45.60699692465192,-1.0,2.938,81.02105787876548,0.0,0.0,0.0,0.0
[3.32501],[0.0],[0.0],1864,288906.0,164405.0,-0.325113,-0.594881,188883.54382492875,16.733,4.611421214146267,112.31453104756908,1.285,1.285,204.8011665281387,0.0,0.0,0.0,0.0
"[-0.933248, 2.06562, 0.00012216]","[3518445.0, 0.0, 4370302.0]","[0.5,0.0,1.0]",2408,28813.9,14592.2,0.579797,-0.553792,72801.13812205126,7.19853,871.5223181286646,99.82968470043562,0.957,0.957,172.88098163509153,0.0,0.0,0.0,0.0
"[-1.00976, 9.73096, 0.00675917]","[1517520.0, 0.0, 1928316.0]","[0.5,0.0,1.0]",9241,55144.8,35021.7,0.607843,-0.301697,162681.33936442036,14.6325,82.56444273248526,140.64258084805476,-1.0,1.454,461.07346949641226,0.0,0.0,0.0,0.0
"[-0.544337, 4.50715, 0.0048738]","[2324267.0, 0.0, 2426415.0]","[0.5,0.0,1.0]",8717,57653.6,12110.3,0.027215,0.638597,98618.57784311146,9.38453,414.5931107600906,91.39448073017223,1.499,1.499,205.51285737513695,0.0,0.0,0.0,0.0
"[1.82383, -0.188745, 0.00542883]","[0.0, 2135067.0, 2173624.0]","[0.0,0.5,1.0]",9608,16667.6,2163.77,-0.973425,0.504913,152497.7624410709,13.8102,2870.6916268845475,21.67352765016548,-1.0,1.872,30.78864649721577,0.0,0.0,0.0,0.0
"[-1.30268, 6.90882, -7.28318, 3.60185, 0.000412164]","[17924400.0, 4922130.0, 5388431.0, 0.0, 22847820.0]","[0.5,0.0,0.5,0.0,1.0]",8625,200510.0,33303.8,0.248331,0.464005,160960.51272669385,14.4938,33.2570704436496,146.9916606943673,1.933,1.933,278.9687187547327,553.7509671936115,167.76894336341005,2.9841986159039258,0.0
"[-0.701507, 3.53611, 0.00215263]","[9937598.0, 0.0, 11791090.0]","[0.5,0.0,1.0]",2224,258366.0,83634.6,-0.840884,0.185156,98757.3977858117,9.39614,22.687238438015257,241.8439437412318,-1.0,0.583,454.7765884715387,202.8693950084906,0.0,0.0,0.0
"[2.3973, -0.449826, 0.0558942]","[0.0, 26059910.0, 26135990.0]","[0.0,0.5,1.0]",5587,484440.0,144973.0,-0.354775,-0.8445,87590.76839638234,8.45771,9.97891277158507,227.9840363344732,-1.0,0.89,352.99262432781376,162.1285836924907,0.0,0.0,0.0
"[1.82862, -0.67062, 0.000559158]","[0.0, 7593562.0, 8031168.0]","[0.0,0.5,1.0]",4269,18547.0,1257.36,-0.583036,0.695443,162795.52585824853,14.6417,4121.846227109342,17.11106165259909,1.823,1.823,27.05387722644544,0.0,0.0,0.0,0.0
"[1.55498, -0.165863, 1.8255e-05]","[0.0, 10725690.0, 12040970.0]","[0.0,0.5,1.0]",7031,44721.0,31828.9,0.902449,-0.13598,56314.51379002742,5.76635,428.3183967612727,190.33789852035147,-1.0,1.12,249.68830338007712,0.0,0.0,0.0,0.0
"[-2.1943, 2.27285, 0.00141162]","[6687956.0, 0.0, 8364057.0]","[0.5,0.0,1.0]",4814,7915.52,4444.74,0.767015,0.779451,162627.97144653532,14.6282,2338.1934366454416,29.587952592110845,-1.0,1.624,62.545891872633575,0.0,0.0,0.0,0.0
"[1.70297, -0.214075, 0.000711477]","[0.0, 14968540.0, 15371890.0]","[0.0,0.5,1.0]",8619,133253.0,69796.7,0.356137,-0.463119,107414.16893686424,10.1176,39.64829782250296,286.57022087109885,1.073,1.073,373.9680993519545,132.81114648109656,0.0,0.0,0.0
"[-1.51398, 2.51442, 3.74528e-05]","[9436107.0, 0.0, 13556950.0]","[0.5,0.0,1.0]",3297,346381.0,4927.39,-0.123388,0.671813,156418.2211561904,14.1272,154.74605418656026,15.316408071459977,-1.0,1.868,30.741513201255106,0.0,0.0,0.0,0.0
"[4.74405, -0.00305011]","[0.0, 228465800.0]","[0.0,0.5]",2198,24681.9,12287.1,-0.887823,-0.898625,200317.81881940112,17.6436,291.2552850104684,45.14360533230739,1.553,1.553,98.32656539835307,2.4931820503682873,0.0,0.0,0.0
"[1.48838, -0.153655]","[0.0, 34662130.0]","[0.0,0.5]",3921,47719.5,21439.1,0.512956,0.0544757,103971.6324542145,9.83128,262.9968332341129,125.69438890628513,1.892,1.892,153.34612418033052,49.27075750985462,0.0,0.0,0.0
